Locality,FIPS,Year,DeathCount,DeathRate,Theme1,Theme2,Theme3,Theme4,Themes,PctDisabled,PctUnemployed,PctUninsured,PctMinority,PctPov150
King William County,51101,2018,3,17.71060865,0.2273,0.3409,0.2727,0.0455,0.0985,11.2,3,6.9,23.8,10.1
Lancaster County,51103,2018,0,0,0.197,0.4091,0.4621,0.2273,0.197,16.9,3.4,10.5,32.3,9.2
Lee County,51105,2018,4,16.99163162,0.9848,0.6591,0.1288,0.75,0.8409,25.9,10.3,13.2,7.1,24
Lexington City,51678,2018,1,14.01345291,0.6439,0.0303,0.1364,0.6439,0.2955,13.8,4.2,5.6,17.9,21.6
Loudoun County,51107,2018,22,5.407398304,0.0076,0.1061,0.9394,0.1439,0.1136,5.7,3.5,6.2,43.1,3.7
Louisa County,51109,2018,5,13.59508402,0.5227,0.5455,0.5379,0.3333,0.5076,16.7,6.3,11,22.7,12.3
Lunenburg County,51111,2018,0,0,0.8258,0.7803,0.5682,0.947,0.9091,21.1,4.4,13.3,40.2,17.9
Lynchburg City,51680,2018,7,8.523488298,0.7197,0.2273,0.7197,0.9015,0.8106,12.9,6.2,9.4,37.7,21.8
Madison County,51113,2018,4,30.08649868,0.3258,0.25,0.2879,0.303,0.2348,13,5.5,12.6,15.2,8.3
Manassas City,51683,2018,7,16.81035518,0.4242,0.2652,0.9924,0.4394,0.6061,6.6,5.7,15.6,58.2,8.6
Manassas Park City,51685,2018,2,11.5560178,0.5985,0.4697,1,0.3258,0.6439,9.8,6.3,18.7,65.4,9.7
Martinsville City,51690,2018,8,62.00589056,0.9015,0.9924,0.6818,0.5758,0.9318,19.1,7.8,13.2,54.7,25.5
Mathews County,51115,2018,1,11.36105431,0.1364,0.2121,0.0909,0.0227,0.0303,15.7,2.7,10,14.3,10.8
Mecklenburg County,51117,2018,6,19.57585644,0.7348,0.9318,0.4848,0.7273,0.8485,20.6,4.3,11.7,39.9,18.9
Middlesex County,51119,2018,1,9.28591327,0.3106,0.2727,0.197,0.4167,0.2273,15.5,4.4,8.9,22.6,8.4
Montgomery County,51121,2018,5,5.051270395,0.447,0.0152,0.4545,0.8636,0.3333,10.1,4.7,6.4,16.4,24.3
Nelson County,51125,2018,1,6.740361283,0.303,0.5985,0.3106,0.5303,0.3485,13.3,3.9,11.4,18.4,12.4
New Kent County,51127,2018,3,13.39824036,0.1212,0.0833,0.1667,0.0909,0.0076,10,4.5,5.7,20.7,4.8
Newport News City,51700,2018,40,22.39315665,0.5606,0.8182,0.9242,0.9924,0.9167,15.6,6.7,11.5,56.6,15.5
Norfolk City,51710,2018,52,21.30483948,0.7045,0.3106,0.8939,0.9697,0.8561,13.1,8.2,12.9,56.5,19.7
Northampton County,51131,2018,1,8.52151683,0.5909,0.803,0.8864,0.6212,0.7652,13.8,3.1,13.1,45.9,19.1
Northumberland County,51133,2018,1,8.232485387,0.4015,0.4242,0.2273,0.0379,0.1439,14.6,6.4,10.5,30.2,13.9
Norton City,51720,2018,0,0,0.9773,0.9848,0.0455,0.8712,0.9394,23.6,13.8,10.1,10.9,29.4
Nottoway County,51135,2018,1,6.485084306,0.7273,0.8409,0.8106,0.9848,0.947,19.5,3.7,11.5,45.5,20.2
Orange County,51137,2018,7,19.10271804,0.3182,0.8939,0.6288,0.4924,0.6212,16.6,5.8,10,21.5,8.6
Page County,51139,2018,2,8.356662349,0.803,0.75,0.1136,0.2879,0.5909,19.7,6.5,12.5,5.8,18.3
Patrick County,51141,2018,1,5.658348894,0.8106,0.697,0.3864,0.6364,0.7121,18,5.7,11.8,10.3,18.7
Petersburg City,51730,2018,14,44.35011246,0.9621,0.9394,0.9318,0.9394,0.9924,20.9,11.3,13.2,85,25.8
Pittsylvania County,51143,2018,9,14.76644408,0.7576,0.7652,0.5379,0.5833,0.7424,17.5,6.2,9.7,25.9,15.6
Poquoson City,51735,2018,1,8.203445447,0.0833,0.4848,0.2121,0,0.0152,13,5.3,3,8.1,4.5
Portsmouth City,51740,2018,32,33.81519993,0.7424,0.7955,0.803,0.7576,0.8712,14.6,9.2,10.9,62,17.2
Powhatan County,51145,2018,0,0,0.0606,0.0455,0.2045,0.053,0,11.3,2.4,6.3,14.8,5.3
Prince Edward County,51147,2018,1,4.357298475,0.7879,0.1136,0.8409,0.7803,0.7348,14.3,6.4,9.3,38.3,19.9
Prince George County,51149,2018,5,13.12956252,0.4394,0.3106,0.5909,0.5455,0.4924,14.2,7.4,7.3,44.8,9.3
Prince William County,51153,2018,50,10.68350958,0.2197,0.2424,0.9848,0.4015,0.3864,7.6,4.7,11.4,56.3,6.8
Pulaski County,51155,2018,6,17.61286914,0.6061,0.6136,0.2803,0.5379,0.5682,18.8,6.1,7.3,9.2,13.4
Radford City,51750,2018,0,0,0.7652,0.0076,0.2576,0.8561,0.4394,12.2,5.9,7.7,17,35.9
Rappahannock County,51157,2018,0,0,0.2045,0.4242,0.2273,0.0076,0.0455,15.3,3.9,13.3,10.9,8.9
Richmond City,51159,2018,91,39.77568263,0.5303,0.0758,0.8258,0.9318,0.6667,12.5,1.9,9,39.2,14.2
Richmond County,51760,2018,0,0,0.75,0.1818,0.9773,0.9091,0.8561,15,7.6,13.4,59.6,24.5
Roanoke City,51161,2018,51,51.04083267,0.1136,0.303,0.4697,0.3788,0.1818,11.5,3.7,5.3,13.8,7.4
Roanoke County,51770,2018,16,17.0080682,0.7727,0.7727,0.8712,0.7879,0.8939,14.7,6.8,12.5,41,20.5
Rockbridge County,51163,2018,1,4.395218003,0.4848,0.2045,0.1439,0.1212,0.1894,13.7,5.9,9.5,7.4,13.8
Rockingham County,51165,2018,4,4.9234405,0.3333,0.3561,0.5076,0.553,0.4091,12.8,3.7,11.4,10.9,9.5
Russell County,51167,2018,1,3.738597278,0.8864,0.5455,0.0152,0.25,0.5227,24.6,6.8,10.1,3.2,19.5
Salem City,51775,2018,4,15.59879889,0.2879,0.2803,0.3712,0.6667,0.3485,11.5,5.2,6.9,14.7,9.1
Scott County,51169,2018,2,9.287638154,0.8333,0.6515,0.1667,0.8485,0.7273,24.8,5.6,10.9,3.3,18.6
Shenandoah County,51171,2018,5,11.49504564,0.4091,0.7197,0.5379,0.4773,0.5758,14.7,4.9,9.2,12,10.8
Smyth County,51173,2018,2,6.563402468,0.7955,0.9091,0.1136,0.8333,0.803,24.4,5.8,10.8,5.8,19.2
Southampton County,51175,2018,3,17.05902422,0.4924,0.7121,0.3561,0.6288,0.5985,15.6,4.3,7,39,10.2
Spotsylvania County,51177,2018,32,23.83825742,0.2348,0.3939,0.75,0.2652,0.3182,11.7,5.3,8.2,31.2,8
Stafford County,51179,2018,17,11.33635636,0.0303,0.3788,0.7879,0.1667,0.1742,8.6,4,7.4,37.4,4.5
Staunton City,51790,2018,3,12.03755718,0.2879,0.6818,0.5227,0.6515,0.5606,15.4,3.2,10.4,18.9,13.7
Suffolk City,51800,2018,12,13.16005922,0.3939,0.6364,0.6591,0.4545,0.5152,12.5,6.2,7.3,50.5,10.8
Surry County,51181,2018,0,0,0.6212,0.4621,0.4318,0.3712,0.4621,16.6,7.2,11.7,47.6,12.7
Sussex County,51183,2018,0,0,0.9545,0.6061,0.7955,0.8788,0.9621,17.9,8.7,7.2,61.8,17.5
Tazewell County,51185,2018,7,17.13376576,0.8485,0.6136,0.0758,0.6894,0.6515,22,7.6,10.6,6.1,16.1
Virginia Beach City,51810,2018,47,10.44005962,0.1439,0.3788,0.7424,0.3333,0.2803,10.9,4.9,8.2,38,7.6
Warren County,51187,2018,9,22.49831263,0.4621,0.5303,0.3485,0.3485,0.3712,14.1,6.1,11.5,12.9,10.4
Washington County,51191,2018,3,5.514503143,0.6515,0.6591,0.053,0.4318,0.4167,20.6,5.9,9.1,4.7,15
Waynesboro City,51820,2018,3,13.25791055,0.5455,0.8712,0.6364,0.5076,0.6742,14.7,4.5,12.9,24,17.4
Westmoreland County,51193,2018,1,5.608524958,0.5152,0.2879,0.7197,0.1288,0.4015,14.8,7.7,13,36.1,12
Williamsburg City,51830,2018,0,0,0.5606,0.053,0.4242,0.8106,0.447,10.8,7.5,5.8,32,22.4
Winchester City,51840,2018,5,17.78852996,0.4545,0.7424,0.8409,0.803,0.7803,14.8,3.8,15.5,33.6,15
Wise County,51195,2018,9,23.67673366,0.9697,0.8561,0.1061,0.9167,0.9015,26.9,9.2,11.1,8.4,22
Wythe County,51197,2018,0,0,0.6742,0.7348,0.0379,0.4697,0.5455,18.8,6.6,9.3,6.1,15.6
York County,51199,2018,5,7.369631224,0.1591,0.5455,0.7045,0.197,0.2424,11.9,6,5.1,28.6,4.7
Accomack County,51001,2020,4,12.4077176,0.8409,0.9015,0.7348,0.9091,0.9394,13.2,3.8,14,40.1,32.3
Albemarle County,51003,2020,14,12.65227922,0.1667,0.3258,0.4621,0.6061,0.2879,9,3.4,6.4,23.4,11.9
Alexandria City,51510,2020,15,9.450247596,0.3106,0.0606,0.8485,0.8182,0.447,7.5,3.3,9.6,48.4,14.8
Alleghany County,51005,2020,4,27.2090334,0.2727,0.6136,0.1515,0.6591,0.4015,19.2,4.6,5.5,8.6,23.5
Amelia County,51007,2020,3,23.05209774,0.4848,0.5227,0.5,0.5152,0.553,14.9,4.4,6.8,27,21.2
Amherst County,51009,2020,5,15.78930748,0.4697,0.2803,0.4773,0.5455,0.4621,15.5,4.9,8.7,25.3,20.2
Appomattox County,51011,2020,3,18.69974444,0.197,0.4394,0.4545,0.2955,0.2273,16,2.8,7.7,23.2,20.9
Arlington County,51013,2020,22,9.16212378,0.0682,0.0303,0.7121,0.8485,0.1818,6,2.8,6,39.2,10.4
Augusta County,51015,2020,9,11.75794314,0.2121,0.2121,0.1818,0.4394,0.197,13.4,2.9,7.4,9.8,16.2
Bath County,51017,2020,0,0,0.7197,0.1061,0.1439,0.3106,0.3939,14.1,6.4,9.7,8.2,32.1
Bedford County,51019,2020,12,15.03552142,0.0985,0.2576,0.2348,0.2045,0.1061,13.6,3.4,6.3,12.9,14.3
Bland County,51021,2020,4,64.1128386,0.2424,0.1439,0.0833,0.697,0.25,18.6,4.3,7.5,6.3,18.2
Botetourt County,51023,2020,6,17.8396218,0.0076,0.1591,0.1288,0.1061,0.0303,12.2,2.8,5,7.3,12.6
Bristol City,51520,2020,1,5.770673438,0.9091,0.8864,0.2273,0.5682,0.803,23,6.3,11.3,12.4,36.9
Brunswick County,51025,2020,6,37.41348132,0.8939,0.6288,0.9318,0.7955,0.8788,19.4,6.9,8.2,59.4,30.1
Buchanan County,51027,2020,0,0,0.8864,0.3939,0.0455,0.6212,0.6818,30.2,6.5,10,5.3,38.3
Buckingham County,51029,2020,2,11.64958062,0.8712,0.4621,0.6742,0.7803,0.7727,16.6,5.8,10.4,38.8,28.6
Buena Vista City,51530,2020,0,0,0.7576,0.2424,0.2197,0.6894,0.6288,15.5,1.8,9.3,12.2,34.3
Campbell County,51031,2020,7,12.65731231,0.3864,0.6742,0.3939,0.4015,0.4167,14.2,3.8,8.2,20.9,23.7
Caroline County,51033,2020,11,35.6448477,0.1818,0.5303,0.6515,0.5606,0.3788,13,3,6.3,36.8,12.9
Carroll County,51035,2020,3,9.975394028,0.6742,0.6742,0.0606,0.3182,0.5758,18.5,4.4,11.4,5.8,24.9
Charles City County,51036,2020,0,0,0.4773,0.1894,0.8939,0.1439,0.2955,19,3.1,7.9,57.2,19.7
Charlotte County,51037,2020,4,33.84094755,0.8636,0.8788,0.5758,0.6515,0.8485,20.3,5.5,11.8,32.1,33.2
Charlottesville City,51540,2020,7,14.90947817,0.6061,0.0909,0.6136,0.8864,0.6515,8.6,4,8.1,34.4,30.8
Chesapeake City,51550,2020,50,20.24201351,0.2803,0.697,0.7803,0.3333,0.4697,11.4,5.2,6.8,43.6,12.8
Chesterfield County,51041,2020,91,25.40161063,0.2348,0.8182,0.697,0.197,0.3712,11.9,4.7,7.5,39.1,11.5
Clarke County,51043,2020,3,20.51702913,0.2197,0.25,0.2803,0.0455,0.0833,12.7,3,8.7,14.7,11
Colonial Heights City,51570,2020,0,0,0.5152,0.9242,0.5227,0.303,0.6364,15.7,6.1,7.4,28.6,17.1
Covington City,51580,2020,2,35.46728143,0.1894,0.2955,0.3636,0.1136,0.1591,11.4,2.7,7.2,19.5,25.2
Craig County,51045,2020,0,0,0.0606,0.0833,0,0.2197,0.0455,16.5,1.7,5.2,1.8,15.2
Culpeper County,51047,2020,10,18.66751293,0.4924,0.7273,0.5682,0.5758,0.6061,13.3,4,9.6,31,14.2
Cumberland County,51049,2020,1,10.06745193,0.5379,0.7045,0.6439,0.1742,0.5076,15.7,2.3,11.7,36.6,17.3
Danville City,51590,2020,10,25.08214402,0.9773,0.9848,0.9167,0.9697,0.9773,19.5,7.1,10,58.4,37
Dickenson County,51051,2020,2,14.20656343,0.8258,0.7197,0.0076,0.7273,0.7348,31.4,4.9,8.4,2.5,36.6
Dinwiddie County,51053,2020,6,20.91466815,0.6591,0.3712,0.6667,0.4924,0.6212,14.6,6.3,8.8,37.9,16.5
Emporia City,51595,2020,2,38.04451208,1,0.8939,0.9924,0.947,1,13.9,16.7,11.9,73.3,43.5
Essex County,51057,2020,4,36.55304761,0.9545,0.8258,0.803,0.6439,0.9015,15.8,8,10.2,45.3,27.1
Fairfax City,51059,2020,1,4.268214606,0.1591,0.4924,0.8561,0.5,0.3258,7.2,4.1,8.1,50,10
Fairfax County,51600,2020,93,8.081004686,0.1439,0.2045,0.7879,0.6364,0.2803,6.5,4,6.7,44.6,13.4
Falls Church City,51610,2020,0,0,0.053,0.6212,0.5303,0.5379,0.2121,7,4.4,2.6,28.8,3.7
Fauquier County,51061,2020,8,11.21060523,0.1136,0.553,0.3788,0.0758,0.0909,9.7,2.9,7.9,20.5,9
Floyd County,51063,2020,1,6.338340622,0.303,0.1212,0.1136,0.1439,0.1439,13.3,3.1,8.9,6.8,20.5
Fluvanna County,51065,2020,3,10.94012107,0.0909,0.2273,0.4394,0.3258,0.1515,13.1,2.5,8.3,22.5,10
Franklin City,51067,2020,3,38.29950211,0.5379,0.3788,0.2348,0.6212,0.5152,15.2,4.3,9.5,12.9,23.6
Franklin County,51620,2020,11,19.5844535,0.7727,0.9091,0.9621,0.3409,0.7879,17.4,9.9,4.7,62.8,28.2
Frederick County,51069,2020,25,27.43664878,0.1742,0.6515,0.3409,0.2803,0.2652,11.6,3.3,8.3,17.2,11
Fredericksburg City,51630,2020,15,50.86125051,0.6288,0.5606,0.7652,0.9621,0.7803,12.3,5.8,9.9,41.9,19.5
Galax City,51640,2020,1,15.88310038,0.9924,1,0.5076,0.8636,0.9924,20.9,8.3,20.4,27.4,39.9
Giles County,51071,2020,3,18.00396087,0.2273,0.2197,0.053,0.3939,0.1742,13.2,4.1,8.1,5.4,19.1
Gloucester County,51073,2020,9,24.02626872,0.2045,0.1439,0.3106,0.0379,0.0758,16.6,3.6,6.2,15.7,11.9
Goochland County,51075,2020,6,24.55896197,0.0303,0.053,0.4318,0.3712,0.0606,12.4,3.7,3.8,22.4,8.7
Grayson County,51077,2020,1,6.454527851,0.6667,0.8485,0.197,0.5152,0.6667,19.5,4.3,12.6,10.5,28.4
Greene County,51079,2020,4,19.86985247,0.4242,0.7348,0.3561,0.2727,0.4545,13.6,4.4,10.9,18.9,17.2
Greensville County,51081,2020,7,62.05673759,0.8788,0.0985,0.9773,0.9545,0.8182,16.4,5.3,10.9,63.8,24.1
Halifax County,51083,2020,9,26.7594327,0.5909,0.9318,0.75,0.4318,0.7273,20.6,3.9,7.3,40.3,25.6
Hampton City,51650,2020,41,30.26634383,0.6212,0.7652,0.9545,0.7727,0.7576,15.8,6.1,7.5,62.5,23
Hanover County,51085,2020,26,24.01581349,0.0152,0.1288,0.3182,0.0909,0.0379,10.5,3.2,4.9,16.6,8.7
Harrisonburg City,51660,2020,4,7.518231712,0.9318,0.2348,0.6212,0.9924,0.8864,9.9,4.7,11.3,34.7,37.8
Henrico County,51087,2020,68,20.37355513,0.2652,0.7121,0.8409,0.25,0.4242,11.4,4.1,7.3,47.7,14.5
Henry County,51089,2020,33,65.59462522,0.8409,0.8561,0.553,0.697,0.8258,21.3,6.3,9.5,30.5,31.3
Highland County,51091,2020,0,0,0.3712,0.197,0.0303,0.053,0.1136,22.1,11.4,7.9,4.1,17.3
Hopewell City,51670,2020,15,67.03910615,0.9394,0.9167,0.8712,0.7197,0.9621,17.3,8.4,8.5,54.8,37
Isle of Wight County,51093,2020,4,10.60304838,0.3636,0.7348,0.5379,0.1894,0.3864,15.4,6,7.3,29.8,15.7
James City County,51095,2020,14,18.03844766,0.1288,0.6894,0.4697,0.4015,0.2424,13.2,4.1,5.4,25.2,10.2
King and Queen County,51097,2020,3,43.21521175,0.1439,0.0455,0.6061,0.0833,0.053,12.4,3.5,5.1,34,17.1
King George County,51099,2020,7,25.56517293,0.1061,0.2652,0.5076,0.0682,0.0682,10.3,3.9,4.7,27.4,11.8
King William County,51101,2020,6,34.01167734,0.0758,0.1364,0.447,0,0.0227,12,4.1,5.2,23,12.9
Lancaster County,51103,2020,4,37.67187794,0.6288,0.5833,0.5909,0.1364,0.5227,17,9.9,9.5,32.7,21.9
Lee County,51105,2020,5,21.51648162,0.9697,0.8409,0.1212,0.8788,0.8939,26.7,9.7,12.4,7,39
Lexington City,51678,2020,0,0,0.3409,0,0.3864,0.5985,0.1288,11.4,3.4,4.8,20.6,27.7
Loudoun County,51107,2020,27,6.386239782,0.0227,0.3864,0.7955,0.1212,0.0985,6.1,3.6,5.5,44.9,6.3
Louisa County,51109,2020,5,13.11234659,0.5758,0.3409,0.4091,0.4242,0.4773,16.8,5.2,8.8,21.9,19.8
Lunenburg County,51111,2020,0,0,0.6818,0.9394,0.7576,0.6742,0.8333,20.4,3.8,7.9,41,29.5
Lynchburg City,51680,2020,15,18.39114283,0.7424,0.3485,0.6591,0.9848,0.8106,13.2,6.3,8.5,37.8,27.2
Madison County,51113,2020,4,30.04807692,0.3864,0.3561,0.2955,0.1667,0.2348,13.5,4.1,7.4,15.3,18.6
Manassas City,51683,2020,13,31.80895055,0.6894,0.7803,0.9394,0.4848,0.75,6.8,4.4,16.7,60.4,15.5
Manassas Park City,51685,2020,5,27.77160631,0.7197,0.7727,0.9848,0.25,0.7197,8.9,3.1,17.2,67.5,15.7
Martinsville City,51690,2020,5,40.46944557,0.8106,0.9924,0.8788,0.5833,0.947,22.8,3.9,10.1,56.5,38
Mathews County,51115,2020,1,11.40771161,0.4242,0.1818,0.2652,0.0303,0.1667,18.5,4.5,10.9,14.4,14.6
Mecklenburg County,51117,2020,7,22.81691059,0.553,0.8712,0.7273,0.6136,0.697,19.4,3.4,8.4,39.8,24.9
Middlesex County,51119,2020,4,37.84653231,0.5833,0.1667,0.4167,0.2879,0.3561,16.8,5.2,8.2,22.3,17.3
Montgomery County,51121,2020,8,8.130824974,0.2879,0.0227,0.3182,0.9394,0.303,10.5,3.5,5.9,16.6,28
Nelson County,51125,2020,0,0,0.25,0.0758,0.3485,0.6667,0.2727,13.5,3.1,8.2,18.7,15.8
New Kent County,51127,2020,3,12.68606225,0.0455,0.0379,0.4015,0.0985,0.0152,9.7,3.1,5.6,21.6,8.7
Newport News City,51700,2020,67,37.41720745,0.75,0.8636,0.9015,1,0.9545,15.3,5.7,10.7,57.9,24
Norfolk City,51710,2020,87,35.83151773,0.9242,0.6364,0.8864,0.9773,0.9697,13.9,8,11.4,56.9,26.6
Northampton County,51131,2020,1,8.566778035,0.6515,0.9697,0.803,0.7879,0.8636,18.3,4.4,9.9,45.3,25.8
Northumberland County,51133,2020,1,8.285690612,0.5,0.1742,0.5606,0.0227,0.1894,13.8,6,9.8,30.7,19.6
Norton City,51720,2020,1,25.09410289,0.8333,0.5,0.0985,0.5909,0.6742,24.1,8.6,7.5,6.5,42.5
Nottoway County,51135,2020,2,13.19261214,0.7955,0.8333,0.8258,0.8485,0.9091,20.2,4.3,13.7,45.9,27
Orange County,51137,2020,8,21.22297387,0.4394,0.5758,0.4167,0.5303,0.5303,16.3,5.5,7.9,22.3,16.4
Page County,51139,2020,7,29.24831822,0.7803,0.4318,0.1061,0.1818,0.5,19.2,5.2,12.3,6.6,20.9
Patrick County,51141,2020,4,22.86628937,0.4091,0.5152,0.1894,0.5076,0.4091,18.7,3.7,8.6,10.3,21.4
Petersburg City,51730,2020,29,95.25060763,0.9848,0.947,1,0.9242,0.9848,21.5,12.6,12.3,85,35.8
Pittsylvania County,51143,2020,13,21.72096909,0.6439,0.803,0.4924,0.6818,0.7121,18.1,5.3,7.8,26.1,26.1
Poquoson City,51735,2020,2,16.31720649,0,0.0682,0.1742,0.0076,0,12.2,1.7,3.2,9.4,9.1
Portsmouth City,51740,2020,50,52.57955286,0.7879,0.7576,0.9697,0.8258,0.8712,14.8,6.3,9.4,63,25.6
Powhatan County,51145,2020,3,9.95090885,0.0379,0.0152,0.2879,0.0606,0.0076,11.7,1.4,5.3,14.9,7.8
Prince Edward County,51147,2020,5,21.73346084,0.8561,0.4242,0.6894,0.9318,0.8561,15.7,5.9,8.7,39,32.4
Prince George County,51149,2020,6,15.50948664,0.4015,0.4167,0.8182,0.5455,0.5379,13.5,6.5,5.2,45.5,15.2
Prince William County,51153,2020,89,18.71584096,0.4621,0.6439,0.9091,0.3485,0.5909,7.9,5,10.7,58.3,11.4
Pulaski County,51155,2020,10,29.46810078,0.3561,0.4091,0.1667,0.447,0.303,19.7,4.9,6.4,9.3,20.7
Radford City,51750,2020,1,5.477951246,0.7652,0.0076,0.3333,0.8712,0.4318,11.5,6.5,6.9,16.9,50
Rappahannock County,51157,2020,4,55.09641873,0.4167,0.2879,0.2045,0.0152,0.1212,15,4.2,13.5,11.7,14.2
Richmond City,51159,2020,203,87.41484588,0.5606,0.2727,0.7197,0.8106,0.6439,15.3,2.5,6.3,39.4,29.6
Richmond County,51760,2020,1,11.02414287,0.9545,0.4545,0.9242,0.9167,0.9318,14.5,6.3,11.5,58.8,30.7
Roanoke City,51161,2020,80,80.76076642,0.0833,0.447,0.2727,0.2273,0.1364,11,3.3,5.1,14.5,13.3
Roanoke County,51770,2020,22,23.27820631,0.947,0.8106,0.7652,0.75,0.9167,11.3,6.7,11.1,41.9,31.6
Rockbridge County,51163,2020,4,17.57700927,0.3409,0.3258,0.1364,0.1591,0.2045,17.2,4.8,7,8.1,22.5
Rockingham County,51165,2020,5,6.071940349,0.3258,0.4848,0.2121,0.4621,0.3485,12,3.1,10.1,11.9,15.7
Russell County,51167,2020,3,11.258303,0.697,0.3182,0.0152,0.3788,0.4924,27.5,6.6,8.1,3.5,31.4
Salem City,51775,2020,8,31.57063931,0.2879,0.303,0.303,0.8333,0.4394,10.9,4.9,6,15.4,15.8
Scott County,51169,2020,6,27.74053354,0.5227,0.6515,0.0152,0.7424,0.5985,28,3.7,8.9,3.5,26.9
Shenandoah County,51171,2020,7,15.94351441,0.5076,0.7879,0.2348,0.25,0.4848,15.9,4,7.4,12.9,22.8
Smyth County,51173,2020,2,6.646726487,0.697,0.947,0.0682,0.7955,0.7652,24.9,5.5,8.9,6,30.4
Southampton County,51175,2020,2,11.34044001,0.3258,0.3636,0.697,0.7121,0.5455,16.3,4.7,6,39.1,18.4
Spotsylvania County,51177,2020,50,36.11438147,0.3182,0.5076,0.5909,0.2348,0.3409,11.3,6,7.6,32.7,12
Stafford County,51179,2020,32,20.41493352,0.1212,0.5985,0.7424,0.3788,0.2576,8.6,3.8,7.8,40.2,8.7
Staunton City,51790,2020,4,15.87931719,0.5227,0.5985,0.3636,0.7652,0.6136,14.6,3.7,9.4,19.5,20.7
Suffolk City,51800,2020,24,25.55556739,0.4545,0.5606,0.8636,0.4167,0.5833,11.6,6.2,6.7,51.1,15.9
Surry County,51181,2020,0,0,0.6136,0.5379,0.8333,0.4697,0.6591,17.2,4.8,9.4,47.2,23.7
Sussex County,51183,2020,2,18.30663616,0.8182,0.3939,0.947,0.8939,0.8409,17.9,6.8,8.9,61.5,21.5
Tazewell County,51185,2020,16,39.47790471,0.7121,0.5909,0.0833,0.7348,0.6894,21.6,7.1,8.3,6.3,27.8
Virginia Beach City,51810,2020,103,22.82644588,0.2576,0.5455,0.6818,0.3636,0.3636,11.4,4.4,7.4,38.9,12.7
Warren County,51187,2020,24,59.29586164,0.5985,0.4773,0.2576,0.4773,0.5606,14.3,5.8,10.3,13.7,17
Washington County,51191,2020,1,1.862370798,0.4394,0.303,0.0379,0.4545,0.3182,21.1,4.2,8.8,4.8,21.4
Waynesboro City,51820,2020,4,17.58937602,0.7348,0.9621,0.4848,0.3561,0.7424,17.2,4.6,10,25.5,26.3
Westmoreland County,51193,2020,2,11.0198909,0.9167,0.7955,0.6364,0.1288,0.7045,15.8,12.7,12.3,36.2,22.4
Williamsburg City,51830,2020,3,19.66052821,0.5682,0.1136,0.5758,0.7576,0.5682,10.2,5.2,8.4,32.1,22.6
Winchester City,51840,2020,14,50.54151625,0.803,0.9773,0.6288,0.8409,0.9242,16.1,5.3,10.6,35.1,23.6
Wise County,51195,2020,6,16.12643122,0.9015,0.4697,0.1591,0.8939,0.7955,27.6,9.2,10.9,8.7,32.3
Wythe County,51197,2020,4,13.97624039,0.3712,0.7348,0.0758,0.2424,0.3333,18.7,4.2,8,6.2,23.1
York County,51199,2020,11,15.89618347,0.1364,0.6667,0.5455,0.2121,0.2197,11.6,5.3,3.5,30.1,9.1
